"key";"en";"ru"
"Discard XXX cards from your hand. If you do, draw YYY cards.";"Discard XXX cards from your hand. If you do, draw YYY cards.";""
"Discard all cards from your hand. If at least XXX card is discarded this way, boost active elemental power of this card by YYY this turn.";"Discard all cards from your hand. If at least XXX card is discarded this way, boost active elemental power of this card by YYY this turn.";""
"Discard the top XXX cards of your opponent's deck.";"Discard the top XXX cards of your opponent's deck.";""
"Discard the top card of your opponent's deck.";"Discard the top card of your opponent's deck.";""
"Discard your hand. Then, draw XXX cards from your deck.";"Discard your hand. Then, draw XXX cards from your deck.";""
"Disconnected";"Disconnected";""
"Disconnected from friend match";"Disconnected from friend match";""
"Display";"Display";""
"Display Bonus";"Display Bonus";""
"Display Stand";"Display Stand";""
"Dissatisfied";"Dissatisfied";""
"Don't Pay";"Don't Pay";""
"Don't have the card customer wanted";"Don't have the card customer wanted";""
"Done";"Done";""
"Dot";"Dot";""
"Double Sided Shelf";"Double Sided Shelf";""
"Dracunix";"Dracunix";""
"Dracunix Figurine";"Dracunix Figurine";""
"Dracunix Statue";"Dracunix Statue";""
"Dracunix Statue Upgrade";"Dracunix Statue Upgrade";""
"Dragon";"Dragon";""
"Dragon Knight";"Dragon Knight";""
"Drain XXX of damage dealt this turn";"Drain XXX% of damage dealt this turn";""
"Drain XXX of damage dealt this turn, draw YYY";"Drain XXX% of damage dealt this turn, draw YYY";""
"Drakon";"Drakon";""
"Draw";"Draw";""
"Draw XXX card";"Draw XXX card";""
"Draw XXX card from your deck for each Guardian card you've taken.";"Draw XXX card from your deck for each Guardian card you've taken.";""
"Draw XXX card from your deck.";"Draw XXX card from your deck.";""
"Draw XXX card, then boost Fire elemental power by YYY this turn.";"Draw XXX card, then boost Fire elemental power by YYY this turn.";""
"Draw XXX card, then boost Water elemental power of this card by YYY for each card in your hand.";"Draw XXX card, then boost Water elemental power of this card by YYY for each card in your hand.";""
"Draw XXX card, then discard YYY card";"Draw XXX card, then discard YYY card";""
"Draw XXX card, then discard YYY card at random";"Draw XXX card, then discard YYY card at random";""
"Draw XXX cards";"Draw XXX cards";""
"Draw XXX cards from your deck, then discard YYY card from your hand.";"Draw XXX cards from your deck, then discard YYY card from your hand.";""
"Draw XXX cards from your deck.";"Draw XXX card from your deck.";""
"Drilceros";"Drilceros";""
"Drilceros Action Figure";"Drilceros Action Figure";""
"Drill";"Drill";""
"Dual Missile";"Dual Missile";""
"Dude, you totally annihilated me...";"Dude, you totally annihilated me...";""
"Due In :";"Due In:";""
"Duplicates";"Duplicates";""
"Dusko";"Dusko";""
"E-Card Display";"E-Card Display Device";""
"EVO Blazoar Figurine";"EVO Blazoar Figurine";""
"EVO Blazoar Statue";"EVO Blazoar Statue";""
"EVO Kingstar Figurine";"EVO Kingstar Figurine";""
"EVO Kingstar Statue";"EVO Kingstar Statue";""
"EX Battle";"EX Battle";""
"EX Full Art";"EX Full Art";""
"Earnings";"Earnings";""
"Earth";"Earth";""
"Earth Battle Deck";"Earth Battle Deck";""
"Earth Cup";"Earth Cup";""
"Earth Destiny Deck";"Earth Destiny Deck";""
"Earth element deals XXX extra damage this turn";"Earth element deals XXX extra damage this turn";""
"Earth element deals double damage this turn";"Earth element deals double damage this turn";""
"Easygoing";"Easygoing";""
"Edit";"Edit";""
"Edit Card";"Edit Card";""
"Edit Price";"Edit Price";""
"Eldritch Creature";"Eldritch Creature";""
"Elec Broadsword";"Elec Broadsword";""
"Electric";"Electric";""
"Electric Chainsaw";"Electric Chainsaw";""
"Electric Spike";"Electric Spike";""
"Electric bill is calculated each day based on light usage in shop";"Electric bill is calculated each day based on light usage in shop";""
"Electrician";"Electrician";""
"Elemental Area";"Elemental Area";""
"Elemental Power";"Elemental Power";""
"Employee";"Employee";""
"Empty Box Storage";"Empty Box Storage";""
"Empty Chest";"Empty Chest";""
"Enable";"Enable";""
"End Phase";"End Phase";""
"End Turn";"End Turn";""
"EndTurn";"EndTurn";""
"Ends In :";"Ends In :";""
"Ends On : 14 October 2025";"Ends On : 14 October 2025";""
"Ends in";"Ends in";""
"Ends in :";"Ends in : ";""
"Energy";"Energy";""
"Energy Shield";"Energy Shield";""
"Entry Fee :";"Entry Fee :";""
"Epic";"Epic";""
"Epic Card Box";"Epic Card Box";""
"Epic Card Pack";"Epic Card Pack";""
"Epic Destiny Box";"Epic Destiny Box";""
"Epic Destiny Pack";"Epic Destiny Pack";""
"Epic Foil Pack";"Epic Foil Pack";""
"Epic pack and card price might XXX";"Epic pack and card price might XXX";""
"Esmerdios";"Esmerdios";""
"Esmeri";"Esmeri";""
"Esmerock";"Esmerock";""
"Event";"Special Event";""
"Event Ended";"Event Ended";""
"Event Ends In :";"Event Ends In : ";""
"Evolution";"Evolution";""
"Evolution Requirement";"Evolution Requirement";""
"Evolve";"Evolve";""
"Evolves From";"Evolves From";""
"Exit";"Exit";""
"Exit Counter";"Exit Counter";""
"Exit Game";"Exit Game";""
"Exp";"Exp";""
"Exp Gained";"Exp Gained";""
"Expand Shop";"Expand Shop";""
"Expansion";"Expansion";""
"Explorer";"Explorer";""
"Export";"Export";""
"Express";"Express";""
"FIGHT !";"Fight !";""
"Fair price I'd say.";"Fair price I'd say.";""
"Fair price for a XXX.";"Fair price for a XXX.";""
"Fair price, but I don't have enough money.";"Fair price, but I don't have enough money.";""
"Famous";"Famous";""
"Fan Art";"Fan Art";""
"Fan Art YYY";"Fan Art YYY";""
"Fan Blade";"Fan Blade";""
"Farmer";"Farmer";""
"Fast";"Fast";""
"Fear";"Fear";""
"Fearful";"Fearful";""
"Feather Blade";"Feather Blade";""
"February";"February";""
"Fee";"Fee";""
"Fee is too high here!";"Fee is too high here!";""
"Feedback";"Feedback";""
"Feeling:";"Feeling:";""
"Fees are collected automatically after players finish playing at the play table";"Fees are collected automatically after players finish playing at the play table";""
"Fencer";"Fencer";""
"Fight";"Fight";""
"Figurine";"Figurine";""
"Fill Shelf";"Fill Shelf";""
"Finally, someone noticed my brilliance! Thank you boss!";"Finally, someone noticed my brilliance! Thank you boss!";""
"Fire";"Fire";""
"Fire Axe";"Fire Axe";""
"Fire Battle Deck";"Fire Battle Deck";""
"Fire Broadsword";"Fire Broadsword";""
"Fire Cup";"Fire Cup";""
"Fire Destiny Deck";"Fire Destiny Deck";""
"Fire Katana";"Fire Katana";""
"Fire Rocket";"Fire Rocket";""
"Fire Shield";"Fire Shield";""
"Fire Twin Axe";"Fire Twin Axe";""
"Fire element deals XXX extra damage this turn";"Fire element deals XXX extra damage this turn";""
"Fire element deals XXX extra damage this turn, draw YYY";"Fire element deals XXX extra damage this turn, draw YYY";""
"Fire element deals double damage this turn";"Fire element deals double damage this turn";""
"Fire element deals double damage this turn, but water element deals no damage";"Fire element deals double damage this turn, but water element deals no damage";""
"Fireman";"Fireman";""
"First Edition";"First Edition";""
"Fistronk";"Fistronk";""
"Flambrolly";"Flambrolly";""
"Flamchik";"Flamchik";""
"Flamethrower";"Flamethrower";""
"Flami";"Flami";""
"Flip";"Flip";""
"Floor";"Floor";""
"Floor YYY";"Floor YYY";""
"Florist";"Florist";""
"Flory";"Flory";""
"Foil";"Foil";""
"Foil Booster";"Foil Booster";""
"Foodie";"Foodie";""
"For Sale";"For Sale";""
"For every Flamchik or Pyropeck in the discard pile or on the field, boost active elemental power of this card by XXX.";"For every Flamchik or Pyropeck in the discard pile or on the field, boost active elemental power of this card by XXX.";""
"Format";"Format";""
"Format :";"Format : ";""
"Forush";"Forush";""
"Forward";"Forward";""
"Frames Per Second";"Frames Per Second";""
"Free";"Free";""
"Freeze Bomb";"Freeze Bomb";""
"Friend Challenge";"Friend Challenge";""
"Friend Invitation";"Friend Invitation";""
"Friend List";"Friend List";""
"Friend Username";"Friend Username";""
"Friend invitation received";"Friend invitation received";""
"Friend request sent";"Friend request sent";""
"Friendly";"Friendly";""
"Friends";"Friends";""
"Frizard";"Frizard";""
"Full";"Full";""
"Full Art";"Full Art";""
"Full Expansion";"Full Expansion";""
"Full Screen";"Full Screen";""
"Fullscreen Toggle";"Full Screen";""
"Fuzzy";"Fuzzy";""
"Gallery";"Gallery";""
"Game";"Game";""
"Game Earning";"Game Earning";""
"Game Paused";"Game Paused";""
"Game Points";"Game Points";""
"Game Roadmap";"Game Roadmap";""
"Game Saved";"Game Saved";""
"Gamepad";"Controller";""
"Gamer";"Gamer";""
"Gamma";"Gamma";""
"Gannon";"Gannon";""
"Garuda";"Garuda";""
"Gekoflare";"Gekoflare";""
"General";"General";""
"Geologist";"Geologist";""
"Ghost";"Ghost";""
"Ghost Edition";"Ghost Edition";""
"Ghost Pack";"Ghost Pack";""
"Giant Shelf";"Giant Shelf";""
"Giga Blade";"Giga Blade";""
"Giga Bundle";"Giga Bundle";""
"Giga Cannon";"Giga Cannon";""
"Giganite";"Giganite";""
"Giganite Statue";"Giganite Statue";""
"GigatronX";"GigatronX";""
"Gilgabass";"Gilgabass";""
"Give";"Give";""
"Give Bonus";"Give Bonus";""
"Giving";"Giving";""
"Giving Away";"Giving Away";""
"Global Ranking";"Global Ranking";""
"Glowing";"Glowing";""
"Go Discord";"Go Discord";""
"Go Next Day";"Go Next Day";""
"Go Recruit";"GO Recruit";""
"Go Shop";"Go Shop";""
"Goals";"Goals";""
"Goblin Mage";"Goblin Mage";""
"Goblin Thief";"Goblin Thief";""
"Goblin Warrior";"Goblin Warrior";""
"God, so expensive.";"God, so expensive.";""
"Gold";"Gold";""
"Gold Edition";"Gold Edition";""
"Gold Finger";"Gold Finger";""
"Golden Star";"Golden Star";""
"Golem";"Golem";""
"Good";"Good";""
"Good game! You really caught me off guard.";"Good game! You really caught me off guard.";""
"Good game, let's play again some other time.";"Good game, let's play again some other time.";""
"Good price!";"Good price!";""
"Good price, but I am broke.";"Good price, but I am broke.";""
"Grab card packs on shelf and open them to get new cards";"Grab card packs on shelf and open them to get new cards";""
"Grade 7";"Grade 7";""
"Graded";"Graded Card";""
"Grading";"Grading";""
"Grading Time";"Grading Time";""
"Grandma";"Grandma";""
"Green";"Green";""
"Grid";"Grid";""
"Grizzaw";"Grizzaw";""
"Guard";"Guard";""
"Guardian Area";"Guardian Area";""
"Gupi";"Gupi";""
"HP";"HP";""
"Hand is full already";"Hand is full already";""
"Handyman";"Handyman";""
"Hangar";"Hangar";""
"Happy";"Happy";""
"Hardworking";"Hardworking";""
"Harpy";"Harpy";""
"Hawk";"Hawk";""
"Heat Knife";"Heat Knife";""
"Heat Missile";"Heat Missile";""
"Heh, you got me.";"Heh, you got me.";""
"Helio";"Helio";""
"Hey man, I went to the gym every night. You need a muscle?";"Hey man, I went to the gym every night. You need a muscle?";""
"Hey, Benji here. Do you need a helping hand in your shop? I'm so excited to work in your shop!";"Hey, Benji here. Do you need a helping hand in your shop? I'm so excited to work in your shop!";""
"Hide UI";"Hide UI";""
"High";"High";""
"Higher chance of attracting wealthy customers";"Higher chance of attracting wealthy customers";""
"Higher chance of customers accepting trades";"Higher chance of customers accepting trades";""
"Higher chance of customers buying more items";"Higher chance of customers buying more items";""
"Higher chance of customers joining tournaments";"Higher chance of customers joining tournaments";""
"Higher chance of customers staying longer in the shop";"Higher chance of customers staying longer in the shop";""
"Higher chance of customers using their card and overspending";"Higher chance of customers using their card and overspending";""
"Higher chance of getting foil cards";"Higher chance of getting foil cards";""
"Higher chance of getting rare cards";"Higher chance of getting rare cards";""
"Higher shop XP gain";"Higher shop XP gain";""
"Hiker";"Hiker";""
"Hire";"Hire";""
"Hire me cause I play and know a lot about TCG, do I get card packs as bonus at the end of the month?";"Hire me cause I play and know a lot about TCG, do I get card packs as bonus at the end of the month?";""
"Hired!";"Hired!";""
"Hmm, not good enough. I need to improve my deck.";"Hmm, not good enough. I need to improve my deck.";""
"Hmm, where is table XXX?";"Hmm, where is table XXX?";""
"Hobby DECO";"Hobby Deco";""
"Hold";"Hold";""
"Hold To Crouch";"Hold To Crouch";""
"Hold To Sprint";"Hold To Sprint";""
"Holo Heaven";"Holo Heaven";""
"Honobi";"Honobi";""
"How do I get in!?";"How do I get in!?";""
"How do I get out!?";"How do I get out!?";""
"How should I set the price?";"How should I set the price?";""
"Huge Card Display";"Huge Card Display";""
"Huge Personal Shelf";"Huge Personal Shelf";""
"Hunger";"Hunger";""
"Hungry";"Hungry";""
"Hydroid";"Hydroid";""
"Hydron";"Hydron";""
"I am looking for XXX.";"I am looking for XXX.";""
"I can't find XXX.";"I can't find XXX.";""
"I can't find my prize anywhere.";"I can't find my prize anywhere.";""
"I can't find table number XXX.";"I can't find table number XXX.";""
"I can't find the Tournament Prize Shelf.";"I can't find the Tournament Prize Shelf.";""
"I can't fit in the entrance!";"I can't fit in the entrance!";""
"I can't fit in the exit!";"I can't fit in the exit!";""
"I can't the Tournament Prize Shelf.";"I can't the Tournament Prize Shelf.";""
"I didn't expect to lose at all.";"I didn't expect to lose at all.";""
"I don't have much experience but am willing to learn and do anything. Please hire me cause I need the money to pay for art school.";"I don't have much experience but am willing to learn and do anything. Please hire me cause I need the money to pay for art school.";""
"I knew every card you were going to play, and still lost.";"I knew every card you were going to play, and still lost.";""
"I need XXX.";"I need XXX.";""
"I quit my day job to open my own card game store. This is it, time to get down to business!";"I quit my day job to open my own card game store. This is it, time to get down to business!";""
"I should've expected the same broken meta deck again.";"I should've expected the same broken meta deck again.";""
"I thought I had the win for sure.";"I thought I had the win for sure.";""
"I underestimated you, and it costs me.";"I underestimated you, and it costs me.";""
"I want this, but I am broke.";"I want this, but I am broke.";""
"I will have my vengeance, just you wait!";"I will have my vengeance, just you wait!";""
"I will play somewhere else!";"I will play somewhere else!";""
"I will refill the machine with these";"I will refill the machine with these";""
"I won't leave until I get my prizes!";"I won't leave until I get my prizes!";""
"I worked in another shop for a few months and gained experience, just finished art school so I have time to work for a while.";"I worked in another shop for a few months and gained experience, just finished art school so I have time to work for a while.";""
"I would so buy this if I have enough money";"I would so buy this if I have enough money";""
"I'll get you next time!";"I'll get you next time!";""
"I'll need a stronger deck before our next duel.";"I'll need a stronger deck before our next duel.";""
"I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop!";"I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop! <3";""
"I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop!";"I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop! <3";""
"I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop!";"I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop! <3";""
"I'm not sure why my friends keep calling me the red comet , they say I move three times faster? Maybe they are just slow.";"I'm not sure why my friends keep calling me the ""red comet"", they say I move three times faster? Maybe they are just slow.";""
"Ice Broadsword";"Ice Broadsword";""
"Ice Mortar";"Ice Mortar";""
"Ice Pike";"Ice Pike";""
"Ice Spinner";"Ice Spinner";""
"Ice Twin Spear";"Ice Twin Spear";""
"Ideals are admirable. Profit is practical.";"Ideals are admirable. Profit is practical.";""
"If your opponent has active Tamer Shield, destroy it. Then, boost Fire elemental power by XXX this turn.";"If your opponent has active Tamer Shield, destroy it. Then, boost Fire elemental power by XXX this turn.";""
"Import";"Import";""
"Impressive. Most impressive.";"Impressive. Most impressive.";""
"Impulsive";"Impulsive";""
"In Album";"In Album";""
"In Progress";"In Progress";""
"In Storage :";"In Storage :";""
"Income";"Income";""
"Independent";"Independent";""
"Inferhog";"Inferhog";""
"Inferhog Figurine";"Inferhog Figurine";""
"Inferhog Statue";"Inferhog Statue";""
"Inferno Boost";"Inferno Boost";""
"Influencer";"Influencer";""
"Info";"Info";""
"Ink Knight";"Ink Knight";""
"Insert Card Pack(s)";"Insert Card Pack(s)";""
"Insert Name";"Insert Name";""
"Insert Shop Name Here";"Insert Shop Name Here";""
"Insert Your Name Here";"Insert Your Name Here";""
"Inspect";"Inspect";""
"Insufficient Cash";"Insufficient Cash";""
"Interact";"Interact";""
"Interact Put Item";"Interact/
Put Item";""
"Invalid Name";"Invalid Name";""
"Inventory";"Inventory";""
"Inverted Camera";"Inverted Camera";""
"Inverted Camera X";"Inverted Camera X";""
"Investor";"Investor";""
"Iron Ball";"Iron Ball";""
"Is there a job opening for your shop? I love collecting cards but money is tight now. I'm a math addict btw.";"Is there a job opening for your shop? I love collecting cards but money is tight now. I'm a math addict btw.";""
"Is this correct?";"Is this correct?";""
"It's a little expensive, hmm...";"It's a little expensive, hmm...";""
"It's pricey, I need to think a little.";"It's pricey, I need to think a little.";""
"It's too smelly!";"It's too smelly!";""
"Item";"Item";""
"Item Earning";"Item Earning";""
"Item Given";"Item Given";""
"Item Sold";"Item Sold";""
"Item Value :";"Item Value :";""
"Items will be lost if checkout is not finished. Are you sure about proceeding to the next day?";"Items will be lost if checkout is not finished.
Are you sure about proceeding to the next day?";""
"Jacktern";"Jacktern";""
"Janitor";"Janitor";""
"January";"January";""
"Jelicleen";"Jelicleen";""
"Jester";"Jester";""
"Jet Burner";"Jet Burner";""
"Jigajawr";"Jigajawr";""
"Join";"Join";""
"July";"July";""
"Jump";"Jump";""
"Jump Checkout";"Jump/
Checkout";""
"June";"June";""
"Kabuto";"Kabuto";""
"Katana";"Katana";""
"Katana Display";"Katana Display";""
"Kataryu";"Kataryu";""
"Katengu";"Katengu";""
"Keep";"Keep";""
"Keybind";"Keybind";""
"Keyboard";"Keyboard";""
"Kidsune";"Kidsune";""
"King";"King";""
"Kingstar";"Kingstar";""
"Kingstar Plushie";"Kingstar Plushie";""
"Kingstar Statue";"Kingstar Statue";""
"Knight";"Knight";""
"Knight Shield";"Knight Shield";""
"Knight Sword";"Knight Sword";""
"Kyrone";"Kyrone";""
"Kyuenbi";"Kyuenbi";""
"LATE !";"Late Payment";""
"LEVEL UP!";"Level Up!";""
"LOCKED";"Locked";""
"Lamia";"Lamia";""
"Language";"Language";""
"Large Shelf";"Large Shelf";""
"Late By XXX Day";"Late By XXX Day";""
"Late By XXX Days";"Late By XXX Days";""
"Late Payment";"Late Payment";""
"Later";"Later";""
"Latest Version :";"Latest Version";""
"Laundry";"Laundry";""
"Lawyer";"Lawyer";""
"Learn More";"Learn More";""
"Leave";"Leave";""
"Left";"Left";""
"Legend";"Legend";""
"Legendary";"Legendary";""
"Legendary Card Box";"Legendary Card Box";""
"Legendary Card Pack";"Legendary Card Pack";""
"Legendary Collector";"Legendary Collector";""
"Legendary Destiny Box";"Legendary Destiny Box";""
"Legendary Destiny Pack";"Legendary Destiny Pack";""
"Legendary Foil Pack";"Legendary Foil Pack";""
"Legendary pack and card price might XXX";"Legendary pack and card price might XXX";""
"Let 10 customers play card game in the shop";"Let 10 customers play card game in the shop";""
"Let Me Think";"Let Me Think";""
"Let customers in by switching the sign on the window to OPEN";"Let customers in by switching the sign on the window to ""OPEN""";""
"Let me in!";"Let me in!";""
"Let me out!";"Let me out!";""
"Lethargic";"Lethargic";""
"Level";"Level";""
"Level :";"Level :";""
"Level Gained";"Level Gained";""
"Level Highest";"Level Highest";""
"Level Lowest";"Level Lowest";""
"Level MAX";"Level MAX";""
"Level Up";"Level Up";""
"Level XXX";"Level XXX";""
"Librarian";"Librarian";""
"License";"License";""
"Light Saber";"Light Saber";""
"Limited Time Plushies!";"Limited Time Plushies!";""
"Lion Shield";"Lion Shield";""
"Litspire";"Litspire";""
"Load";"Load";""
"Load Game";"Load Game";""
"Loading this save slot will overwrite the current auto save slot. Are you sure about it?";"Loading this save slot will overwrite the current auto save slot. Are you sure about it?";""
"Locked";"Locked";""
"Long Shelf";"Long Shelf";""
"Look at top XXX cards of your deck, select YYY card and discard the rest. Shuffle your deck and put the selected card on top of your deck.";"Look at top XXX cards of your deck, select YYY card and discard the rest. Shuffle your deck and put the selected card on top of your deck.";""
"Look at top XXX cards of your deck, select YYY card and put them into your hand. Put the rest at the bottom of your deck.";"Look at top XXX cards of your deck, select YYY card and put them into your hand. Put the rest at the bottom of your deck.";""
"Look at top XXX cards of your deck, select YYY card and put them into your hand. Shuffle the rest back into your deck.";"Look at top XXX cards of your deck, select YYY card and put them into your hand. Shuffle the rest back into your deck.";""
"Look at top XXX cards of your deck, select YYY cards and put them into your hand. Put the rest at the bottom of your deck.";"Look at top XXX cards of your deck, select YYY cards and put them into your hand. Put the rest at the bottom of your deck.";""
"Look at top XXX cards of your deck, select YYY cards and put them into your hand. Shuffle the rest back into your deck.";"Look at top XXX cards of your deck, select YYY cards and put them into your hand. Shuffle the rest back into your deck.";""
"Look at top XXX cards of your deck, select YYY evolution card and put it into your hand. Shuffle the rest back into your deck.";"Look at top XXX cards of your deck, select YYY evolution card and put it into your hand. Shuffle the rest back into your deck.";""
"Look at top XXX cards of your deck. Select up to YYY card and put it into your hand, discard the rest.";"Look at top XXX cards of your deck. Select up to YYY card and put it into your hand, discard the rest.";""
"Look at top XXX cards of your deck. Select up to YYY cards and put it into your hand, discard the rest. Shuffle your deck.";"Look at top XXX cards of your deck. Select up to YYY cards and put it into your hand, discard the rest. Shuffle your deck.";""
"Looks like my deck still has room for improvement.";"Looks like my deck still has room for improvement.";""
"Looks like the heart of the cards chose me this time.";"Looks like the heart of the cards chose me this time.";""
"Looks like the heart of the cards chose you this time.";"Looks like the heart of the cards chose you this time.";""
"Lose";"Lose";""
"Losses";"Losses";""
"Low";"Low";""
"Lower rental costs";"Lower rental costs";""
"Lucadence";"Lucadence";""
"Lucadense";"Lucadence";""
"Lucandense";"Lucandense";""
"Lucinder";"Lucinder";""
"Luck was on your side today.";"Luck was on your side today.";""
"Lucky";"Lucky";""
"Lumie";"Lumie";""
"Lunight";"Lunight";""
"Lunight Figurine";"Lunight Figurine";""
"Lunight Statue";"Lunight Statue";""
"Luphire";"Luphire";""
"Lupup";"Lupup";""
"Lv";"Lv";""
"MY DIY";"MY DIY";""
"Mafia Works";"Mafia Works";""
"Mage";"Mage";""
"Magic";"Magic";""
"Magical Attacker";"Magical Attacker";""
"Magnetic";"Magnetic";""
"Magnetic Coil";"Magnetic Coil";""
"Magnetic Holder";"Magnetic Holder";""
"Magnoria";"Magnoria";""
"Maid";"Maid";""
"Main Menu";"Main Menu";""
"Main Phase";"Main Phase";""
"Mammotree";"Mammotree";""
"Man Counter";"Man Counter";""
"Man the cashier by standing behind counter and interact it";"Man the cashier by standing behind counter and interact it";""
"Man, XXX sure is expensive!";"Man, XXX sure is expensive!";""
"Man, this is expensive!";"Man, this is expensive!";""
"Manage";"Manage";""
"Manage Event";"Manage Event";""
"Manning Counter";"Manning Counter";""
"March";"March";""
"Market Fee";"Market Fee";""
"Market Fee :";"Market Fee : ";""
"Market Price";"Market Price";""
"Marketing";"Marketing";""
"Master Arena";"Master Arena";""
"Match";"Match";""
"Match Win";"Match Win";""
"Mauler Mace";"Mauler Mace";""
"Max";"Max";""
"Max card limit reached";"Max card limit reached";""
"May";"May";""
"Maybe if I have enough money.";"Maybe if I have enough money.";""
"Maybe next time try reading your cards first.";"Maybe next time try reading your cards first.";""
"Medium";"Medium";""
"Medium Shelf";"Medium Shelf";""
"Medium Table";"Medium Table";""
"Megabot";"Megabot";""
"Megabot Card Collector";"Megabot Card Collector";""
"Megabot Pack";"Megabot Pack";""
"Megamite Statue";"Megamite Statue";""
"Meganite";"Meganite";""
"Meganite Figurine";"Meganite Figurine";""
"Meganite Statue";"Meganite Statue";""
"Meganite Statue Upgrade";"Meganite Statue Upgrade";""
"Megavolt Beam";"Megavolt Beam";""
"Meh, another meta deck. How original.";"Meh, another meta deck. How original.";""
"Mimic";"Mimic";""
"Min";"Min";""
"Mini Missile";"Mini Missile";""
"Minimum Card To Remain";"Minimum Card To Remain";""
"Minimum Price";"Minimum Price";""
"Minotaur";"Minotaur";""
"Minotos";"Minotos";""
"Minstar";"Minstar";""
"Minstar Plushie";"Minstar Plushie";""
"Minstar Statue";"Minstar Statue";""
"Minus";"Minus";""
"Minute";"Minute";""
"Minutes";"Minutes";""
"Missile Cannon";"Missile Cannon";""
"Money";"Money";""
"Moonlight Blade";"Moonlight Blade";""
"More Games";"More Games";""
"More Info";"More Info";""
"Morning Star";"Morning Star";""
"Mortar";"Mortar";""
"Moskit";"Moskit";""
"Most Trusted Grading Service";"Most Trusted Grading Service";""
"Most generous, boss. I'll consider this a tribute to my impeccable work.";"Most generous, boss. I'll consider this a tribute to my impeccable work.";""
"Mothini";"Mothini";""
"Mouse Sensitivity";"Tracking Sensitivity";""
"Move";"Move";""
"Move Backward";"Move Backward";""
"Move Forward";"Move Forward";""
"Move Left";"Move Left";""
"Move Right";"Move Right";""
"Move Shelf";"Move Shelf";""
"Muffleur";"Muffleur";""
"Mufflimax";"Mufflimax";""
"Mufflin";"Mufflin";""
"Mulligan";"Mulligan";""
"Mulligan or keep current hand?";"Mulligan or keep current hand?";""
"Mummog";"Mummog";""
"Mushroom Monster";"Mushroom Monster";""
"Music";"Music";""
"Musician";"Musician";""
"My little brother said this is the best place to work. I will be a great help, trust me!";"My little brother said this is the best place to work. I will be a great help, trust me!";""
"My work standard is quite high, and my skills will be quite invaluable, I assure you.";"My work standard is quite high, and my skills will be quite invaluable, I assure you.";""
"NEW";"NEW";""
"NOTE";"Note";""
"Name";"Name";""
"Name :";"Name :";""
"Name can't be empty";"Name can't be empty";""
"Name is not available";"Name is not available";""
"Name is too short";"Name is too short";""
"Nanomite";"Nanomite";""
"Nanomite Plushie";"Nanomite Plushie";""
"Nanomite Statue";"Nanomite Statue";""
"Nearby Stores Charge";"Nearby Stores Charge";""
"Necromansters";"Necromansters";""
"Need 5 of the same item";"Need 5 of the same item";""
"Need to copy deck first";"Need to copy deck first";""
"Need to setup prizes first";"Need to setup prizes first";""
"Need work. Me strong, I carry stuff for you yes?";"Need work. Me strong, I carry stuff for you yes?";""
"Negate XXX of opponent's earth element damage next turn, draw YYY";"Negate XXX% of opponent's earth element damage next turn, draw YYY";""
"Negate XXX of opponent's fire element damage next turn, draw YYY";"Negate XXX% of opponent's fire element damage next turn, draw YYY";""
"Negate XXX of opponent's water element damage next turn, draw YYY";"Negate XXX% of opponent's water element damage next turn, draw YYY";""
"Negate XXX of opponent's wind element damage next turn, draw YYY";"Negate XXX% of opponent's wind element damage next turn, draw YYY";""
"Never underestimate my deck!";"Never underestimate my deck!";""
"New Furniture Available";"New Furniture Available ";""
"New Game";"New Game";""
"New License Available";"New License Available ";""
"New Room Available";"New Room Available";""
"New Shop Expansion Available";"New Shop Expansion Available";""
"New Submission";"New Submission";""
"New Worker Available";"New Worker Available";""
"Next";"Next";""
"Next 10 Page";"Next 10 Page";""
"Next Customer:";"Next Customer:";""
"Next Day";"Next Day";""
"Next Game Event";"Next Game Event";""
"Next Goal";"Next Goal";""
"Next Page";"Next Page";""
"Nice duel, let's battle again sometime!";"Nice duel, let's battle again sometime!";""
"Nice! I'll try not to spend it all on card packs this time.";"Nice! I'll try not to spend it all on card packs this time.";""
"Nimblis";"Nimblis";""
"Nimboculo";"Nimboculo";""
"Nimbustrike";"Nimbustrike";""
"No";"No";""
"No Photo";"No Photo";""
"No Refund No Exchange!";"No Refund No Exchange!";""
"No Snap";"No Snap";""
"No XXX here.";"No XXX here.";""
"No card available";"No card available";""
"No card pack in machine";"No card pack in machine";""
"No card selected";"No card selected";""
"No deco in inventory";"No deco in inventory";""
"No effect";"No effect";""
"No effect on card pack price.";"No effect on card pack price.";""
"No empty slot available";"No empty slot available";""
"No item on hand";"No item on hand";""
"No more slot to join";"No more slot to join";""
"No space to put the bulk box after bundling";"No space to put the bulk box after bundling";""
"No thanks";"No thanks";""
"No valid selection";"No valid selection";""
"No, Thank You";"No, Thank You";""
"Noble";"Noble";""
"Nocti";"Nocti";""
"Nocti Plushie";"Nocti Plushie";""
"Nocti Statue";"Nocti Statue";""
"None";"None";""
